"","x"
"run_00001",0.382413225282093
"run_00002",-0.723751492204891
"run_00003",0.395859974181131
"run_00004",-0.243614245976119
"run_00005",0.2728850610414
"run_00006",0.504448288815971
"run_00007",-0.548799186765345
"run_00008",0.38310708550055
"run_00009",-1.81252651537843
"run_00010",-0.0140441155398334
"run_00011",0.24828062919865
"run_00012",0.102095181234792
"run_00013",0.41635442865651
"run_00014",0.030765565021009
"run_00015",-0.0623502213857867
"run_00016",-0.0611281202268199
"run_00017",0.155020870506946
"run_00018",-0.278916553386786
"run_00019",0.199802641242517
"run_00020",0.230672176646881
"run_00021",0.0963872071688199
"run_00022",-0.707660638389947
"run_00023",0.343513559316387
"run_00024",0.106129189257054
"run_00025",-1.25060111188174
"run_00026",0.328179850411906
"run_00027",0.225409843779043
"run_00028",0.49377005466741
"run_00029",-0.0108195038000884
"run_00030",-0.419845481805827
"run_00031",0.414651991388894
"run_00032",-0.239575761575081
"run_00033",0.32350613896946
"run_00034",0.0987613309267266
"run_00035",0.165496243232151
"run_00036",0.239203735753025
"run_00037",-0.00655784932997383
"run_00038",-0.0305186451359754
"run_00039",-1.08131406473225
"run_00040",-0.167166725145211
"run_00041",-0.738522807207354
"run_00042",-0.0161470295620771
"run_00043",-0.547002101827777
"run_00044",0.236891490781359
"run_00045",-0.497440955187
"run_00046",0.157142795311934
"run_00047",0.449290900449924
"run_00048",-0.622057748442653
"run_00049",-0.793409090466135
"run_00050",-0.997620943281865
"run_00051",0.296273463823518
"run_00052",0.441271718929674
"run_00053",0.388924234070735
"run_00054",0.0606492914502222
"run_00055",-0.0932863288758072
"run_00056",-0.0263731796941657
"run_00057",-1.11559957693867
"run_00058",0.21130153482829
"run_00059",0.314738145829073
"run_00060",0.410322582490884
"run_00061",0.426521830886003
"run_00062",-0.852977986205247
"run_00063",0.447986153907256
"run_00064",0.0940221926067023
"run_00065",0.384137002565295
"run_00066",-0.573889571601601
"run_00067",0.0458400660211996
"run_00068",-0.0121033590839308
"run_00069",-0.378175865444393
"run_00070",0.387992288079385
"run_00071",0.154414485395533
"run_00072",0.326766326308299
"run_00073",-0.00934599250513024
"run_00074",-0.633420097738788
"run_00075",0.136834295062926
"run_00076",0.201741718700378
"run_00077",0.10450433959265
"run_00078",0.428206585390649
"run_00079",0.0552608972936773
"run_00080",-0.724252808191364
"run_00081",-0.459876010827409
"run_00082",0.423620197178425
"run_00083",-1.74535036973533
"run_00084",0.260460479131853
"run_00085",0.429659546639538
"run_00086",0.345326720311156
"run_00087",-1.10812489573517
"run_00088",0.459953842561788
"run_00089",-0.332685796979331
"run_00090",0.244967546641666
"run_00091",0.119704152475134
"run_00092",0.246146792929969
"run_00093",0.281053640625353
"run_00094",-0.339921236988996
"run_00095",0.441441790883978
"run_00096",0.360127173511881
"run_00097",-0.705065659673378
"run_00098",0.0284159635636345
"run_00099",0.0618611137531759
"run_00100",0.24122597768553
"run_00101",-0.0112777627740801
"run_00102",-0.462558086881807
"run_00103",0.210123932671042
"run_00104",-0.0801416970849429
"run_00105",0.0888107242259244
"run_00106",0.345181293193788
"run_00107",-0.33479481846894
"run_00108",0.016037591488468
"run_00109",0.271798834242796
"run_00110",-0.33248713888216
"run_00111",-0.595763536283326
"run_00112",0.334094047823846
"run_00113",-0.542986677168961
"run_00114",-0.162088212269384
"run_00115",-0.866989821163932
"run_00116",-0.969473052224829
"run_00117",-0.176941326948244
"run_00118",0.0426826066616909
"run_00119",0.490945282695463
"run_00120",0.338600318465277
"run_00121",0.391435377882803
"run_00122",-0.509577141395022
"run_00123",0.142774921926176
"run_00124",0.415276295260299
"run_00125",0.475362649387167
"run_00126",0.371001411692088
"run_00127",0.309133798908627
"run_00128",0.14260396426505
"run_00129",-0.584776882851483
"run_00130",-0.00332508245172969
"run_00131",-0.905629563343362
"run_00132",-0.0106875474743908
"run_00133",-0.228077708555189
"run_00134",-2.74626568233972
"run_00135",-0.667785132896345
"run_00136",-0.302555612907094
"run_00137",0.310044233361224
"run_00138",-0.0793670740760213
"run_00139",-1.35468816360658
"run_00140",0.580376613578378
"run_00141",0.414174662018763
"run_00142",0.230554208600561
"run_00143",0.329369165587815
"run_00144",-0.0905598591841765
"run_00145",0.257333492275942
"run_00146",-0.161110647122561
"run_00147",0.174296832907866
"run_00148",0.318102845372274
"run_00149",-2.45493646138812
"run_00150",0.375052920344549
"run_00151",-0.0240627126120994
"run_00152",-0.700307464419393
"run_00153",0.184046871716458
"run_00154",-0.0962257300026357
"run_00155",0.0596780949713024
"run_00156",-1.02139002273854
"run_00157",0.209715444290511
"run_00158",0.323401445527018
"run_00159",-0.59617678130748
"run_00160",0.0495479792051713
"run_00161",0.119534911735839
"run_00162",-0.188696440622487
"run_00163",0.35490805476159
"run_00164",-1.78017788763078
"run_00165",0.39774397564905
"run_00166",0.260149371490149
"run_00167",0.348236852887759
"run_00168",0.427679117194113
"run_00169",0.0808695624946573
"run_00170",-0.121959814603784
"run_00171",0.483724939950017
"run_00172",0.531541334848326
"run_00173",0.162371515811261
"run_00174",0.132592007075872
"run_00175",0.190824211671046
"run_00176",0.186696401493812
"run_00177",-1.4073721070087
"run_00178",0.356778237218367
"run_00179",0.281476235843332
"run_00180",0.340542948851046
"run_00181",0.222162923898143
"run_00182",0.551883651531368
"run_00183",0.396094208760512
"run_00184",-0.651745774292581
"run_00185",0.297908569640804
"run_00186",0.121562403011977
"run_00187",-0.071125431316921
"run_00188",0.501804422887718
"run_00189",-0.450691444535261
"run_00190",0.0154891408456771
"run_00191",-0.178962513618846
"run_00192",-0.303020413340228
"run_00193",0.22817465787445
"run_00194",-1.10327903747091
"run_00195",-0.338808785101277
"run_00196",0.472275281484284
"run_00197",0.315497488001959
"run_00198",-0.534874743233728
"run_00199",-0.167948943203108
"run_00200",-0.109009694174093
"run_00201",0.180968999139046
"run_00202",-0.0650694986084419
"run_00203",-0.0239889576050922
"run_00204",0.223115347349223
"run_00205",-0.0684768795095296
"run_00206",-0.494451743696191
"run_00207",-0.243597207846102
"run_00208",-1.0341350859289
"run_00209",0.0247046375263654
"run_00210",0.424648936006863
"run_00211",-1.95817662964144
"run_00212",-0.914666232403594
"run_00213",0.369503776045026
"run_00214",-0.230379963972504
"run_00215",0.124463169711299
"run_00216",-1.52494904234497
"run_00217",0.362668283318438
"run_00218",-0.0653556489251066
"run_00219",0.450394197132615
"run_00220",0.391269648943539
"run_00221",-0.40911832637539
"run_00222",-1.4092882062517
"run_00223",0.33245123669605
"run_00224",0.238243005598336
"run_00225",0.0634372449176013
"run_00226",0.421321127681645
"run_00227",0.301720168302644
"run_00228",-0.0488070138796441
"run_00229",0.35638076276509
"run_00230",-0.196871884461755
"run_00231",-0.650840597807248
"run_00232",0.153840170238722
"run_00233",0.281136902421494
"run_00234",0.00186552772172188
"run_00235",0.32096600141384
"run_00236",0.0348329541973719
"run_00237",-0.238862689239402
"run_00238",0.0303906163445783
"run_00239",-0.222557434285936
"run_00240",0.413212191161197
"run_00241",-0.775560901324822
"run_00242",-0.0455622513947747
"run_00243",-0.256595554813505
"run_00244",0.103864040853428
"run_00245",-0.723724429739007
"run_00246",0.33639650785529
"run_00247",-0.366782747718446
"run_00248",-0.135099063486622
"run_00249",0.30469161807876
"run_00250",-0.195521208308404
"run_00251",-0.000493060034799875
"run_00252",0.41871054199969
"run_00253",0.175743698304804
"run_00254",0.325441102373667
"run_00255",0.461720131064374
"run_00256",0.312748377842993
"run_00257",0.374807549200729
"run_00258",0.14543541864662
"run_00259",0.496103783334982
"run_00260",0.299793147856796
"run_00261",0.528474846295242
"run_00262",-1.17463565908752
"run_00263",0.240656402895477
"run_00264",0.217735814293993
"run_00265",0.316695294655697
"run_00266",-0.014364077783745
"run_00267",0.15998370163446
"run_00268",0.449910998410662
"run_00269",0.0147876198726692
"run_00270",0.207493069593024
"run_00271",-0.577921457788225
"run_00272",-1.57226950582498
"run_00273",-1.1370969369727
"run_00274",0.237756111287292
"run_00275",0.349947407083674
"run_00276",-1.43431275467462
"run_00277",0.426665577646452
"run_00278",0.438311391684784
"run_00279",0.130846709655441
"run_00280",0.184802667095348
"run_00281",0.0705330403901342
"run_00282",0.263266945779671
"run_00283",0.411260800994975
"run_00284",0.485168719926432
"run_00285",-0.0769146010796915
"run_00286",0.344988526086638
"run_00287",-0.491930136442406
"run_00288",0.155024069715445
"run_00289",0.319878390700612
"run_00290",0.338696418125262
"run_00291",-0.0960517944336445
"run_00292",0.0252608675488866
"run_00293",-0.635416573762145
"run_00294",0.475365512043856
"run_00295",-0.175894032120636
"run_00296",0.136322173227064
"run_00297",-0.388608423045649
"run_00298",0.446084972420413
"run_00299",-1.42760686355514
"run_00300",-0.0231240516712325
"run_00301",0.37962993598604
"run_00302",-0.04838792990143
"run_00303",0.484940903956477
"run_00304",0.553838363656949
"run_00305",0.0463303344838352
"run_00306",-1.46669683289212
"run_00307",0.210547968484567
"run_00308",-0.526663716414699
"run_00309",0.127190231045784
"run_00310",0.267570255701302
"run_00311",0.452744874078943
"run_00312",0.304102322317211
"run_00313",-0.264920877670127
"run_00314",0.266626288759105
"run_00315",-0.810115985266664
"run_00316",-0.023795310082932
"run_00317",-0.572989579640051
"run_00318",0.217869873410744
"run_00319",-0.898737010472909
"run_00320",-0.226694340237242
"run_00321",-0.943581761064579
"run_00322",0.345945327793642
"run_00323",0.128508156673108
"run_00324",-0.670004104474693
"run_00325",-1.06841223378418
"run_00326",0.29548290533513
"run_00327",-0.163457890280571
"run_00328",0.0584885546317784
"run_00329",0.308031004865457
"run_00330",-0.483799723130846
"run_00331",-0.244575684283295
"run_00332",-0.149525306234734
"run_00333",0.373931296149622
"run_00334",-0.195655294053849
"run_00335",0.19335633055023
"run_00336",0.345836188588593
"run_00337",-1.47535162706075
"run_00338",0.537435155232539
"run_00339",-0.163378866049865
"run_00340",0.245029078822901
"run_00341",0.224834085762824
"run_00342",-0.504027739380177
"run_00343",-0.269302562876778
"run_00344",-0.241912461013378
"run_00345",-0.0194104843284819
"run_00346",-0.238778763486444
"run_00347",-0.419369793635507
"run_00348",0.44688657624188
"run_00349",-0.584988066118416
"run_00350",0.383428712711044
"run_00351",-0.833417981346681
